participant_id,bias_name,description,age_group,profession,prevalence_score,awareness,corrected_score
P046,Bandwagon Effect,Doing things because many others are doing them,65+,Finance,1.0,No,0.97
P047,Bandwagon Effect,Doing things because many others are doing them,26-35,Finance,0.581,No,0.551
P048,Bandwagon Effect,Doing things because many others are doing them,36-50,Other,0.722,Yes,0.772
P049,Bandwagon Effect,Doing things because many others are doing them,51-65,Tech,0.681,No,0.651
P050,Bandwagon Effect,Doing things because many others are doing them,18-25,Other,0.537,No,0.507
P001,Dunning-Kruger Effect,Low-ability people overestimating their competence,51-65,Education,0.573,No,0.543
P002,Dunning-Kruger Effect,Low-ability people overestimating their competence,36-50,Education,0.769,No,0.739
P003,Dunning-Kruger Effect,Low-ability people overestimating their competence,51-65,Other,0.835,No,0.805
P004,Dunning-Kruger Effect,Low-ability people overestimating their competence,65+,Tech,0.688,No,0.658
P005,Dunning-Kruger Effect,Low-ability people overestimating their competence,18-25,Healthcare,0.826,No,0.796
P006,Dunning-Kruger Effect,Low-ability people overestimating their competence,36-50,Education,1.0,Yes,1.0
P007,Dunning-Kruger Effect,Low-ability people overestimating their competence,65+,Other,0.993,No,0.963
P008,Dunning-Kruger Effect,Low-ability people overestimating their competence,26-35,Tech,0.651,Yes,0.701
P009,Dunning-Kruger Effect,Low-ability people overestimating their competence,51-65,Healthcare,0.482,Yes,0.532
P010,Dunning-Kruger Effect,Low-ability people overestimating their competence,26-35,Education,0.775,No,0.745
P011,Dunning-Kruger Effect,Low-ability people overestimating their competence,18-25,Student,0.94,Yes,0.99
P012,Dunning-Kruger Effect,Low-ability people overestimating their competence,36-50,Education,0.802,Yes,0.852
P013,Dunning-Kruger Effect,Low-ability people overestimating their competence,65+,Finance,0.714,No,0.684
P014,Dunning-Kruger Effect,Low-ability people overestimating their competence,51-65,Tech,0.746,Yes,0.796
P015,Dunning-Kruger Effect,Low-ability people overestimating their competence,26-35,Other,0.84,No,0.81
P016,Dunning-Kruger Effect,Low-ability people overestimating their competence,36-50,Healthcare,0.854,No,0.824
P017,Dunning-Kruger Effect,Low-ability people overestimating their competence,18-25,Student,0.682,No,0.652
P018,Dunning-Kruger Effect,Low-ability people overestimating their competence,65+,Healthcare,0.648,No,0.618
P019,Dunning-Kruger Effect,Low-ability people overestimating their competence,65+,Other,0.71,Yes,0.76
P020,Dunning-Kruger Effect,Low-ability people overestimating their competence,18-25,Education,0.804,Yes,0.854
P021,Dunning-Kruger Effect,Low-ability people overestimating their competence,26-35,Tech,0.978,Yes,1.0
P022,Dunning-Kruger Effect,Low-ability people overestimating their competence,65+,Education,1.0,No,0.97
P023,Dunning-Kruger Effect,Low-ability people overestimating their competence,26-35,Tech,0.645,No,0.615
P024,Dunning-Kruger Effect,Low-ability people overestimating their competence,51-65,Education,0.894,Yes,0.944
P025,Dunning-Kruger Effect,Low-ability people overestimating their competence,36-50,Student,0.785,No,0.755
P026,Dunning-Kruger Effect,Low-ability people overestimating their competence,51-65,Other,0.845,No,0.815
P027,Dunning-Kruger Effect,Low-ability people overestimating their competence,51-65,Healthcare,0.795,No,0.765
P028,Dunning-Kruger Effect,Low-ability people overestimating their competence,51-65,Tech,0.632,Yes,0.682
P029,Dunning-Kruger Effect,Low-ability people overestimating their competence,18-25,Finance,0.805,Yes,0.855
P030,Dunning-Kruger Effect,Low-ability people overestimating their competence,36-50,Other,0.842,Yes,0.892
P031,Dunning-Kruger Effect,Low-ability people overestimating their competence,65+,Other,0.557,No,0.527
P032,Dunning-Kruger Effect,Low-ability people overestimating their competence,36-50,Finance,0.903,No,0.873
P033,Dunning-Kruger Effect,Low-ability people overestimating their competence,26-35,Student,0.819,Yes,0.869
P034,Dunning-Kruger Effect,Low-ability people overestimating their competence,26-35,Other,0.782,Yes,0.832
P035,Dunning-Kruger Effect,Low-ability people overestimating their competence,26-35,Other,0.884,No,0.854
P036,Dunning-Kruger Effect,Low-ability people overestimating their competence,65+,Tech,0.75,No,0.72
P037,Dunning-Kruger Effect,Low-ability people overestimating their competence,65+,Healthcare,0.618,Yes,0.668
P038,Dunning-Kruger Effect,Low-ability people overestimating their competence,18-25,Healthcare,0.832,No,0.802
P039,Dunning-Kruger Effect,Low-ability people overestimating their competence,26-35,Education,0.998,No,0.968
P040,Dunning-Kruger Effect,Low-ability people overestimating their competence,65+,Student,0.625,No,0.595
P041,Dunning-Kruger Effect,Low-ability people overestimating their competence,26-35,Tech,0.872,No,0.842
P042,Dunning-Kruger Effect,Low-ability people overestimating their competence,26-35,Finance,0.815,No,0.785
P043,Dunning-Kruger Effect,Low-ability people overestimating their competence,18-25,Student,1.0,No,0.97
P044,Dunning-Kruger Effect,Low-ability people overestimating their competence,18-25,Other,0.86,Yes,0.91
P045,Dunning-Kruger Effect,Low-ability people overestimating their competence,65+,Finance,0.917,No,0.887
P046,Dunning-Kruger Effect,Low-ability people overestimating their competence,18-25,Other,1.0,No,0.97
P047,Dunning-Kruger Effect,Low-ability people overestimating their competence,18-25,Tech,0.82,Yes,0.87
P048,Dunning-Kruger Effect,Low-ability people overestimating their competence,18-25,Other,0.87,No,0.84
P049,Dunning-Kruger Effect,Low-ability people overestimating their competence,51-65,Student,0.979,No,0.949
P050,Dunning-Kruger Effect,Low-ability people overestimating their competence,36-50,Finance,0.997,Yes,1.0
P001,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,36-50,Student,0.545,Yes,0.595
P002,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,36-50,Finance,1.0,No,0.97
P003,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,65+,Education,0.628,No,0.598
P004,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,51-65,Student,0.768,No,0.738
P005,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,18-25,Finance,0.704,No,0.674
P006,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,18-25,Education,0.759,No,0.729
P007,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,26-35,Healthcare,0.851,No,0.821
P008,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,18-25,Student,0.751,Yes,0.801
P009,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,18-25,Healthcare,0.655,No,0.625
P010,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,65+,Finance,0.486,No,0.456
P011,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,65+,Finance,0.672,No,0.642
P012,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,26-35,Healthcare,0.708,Yes,0.758
P013,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,18-25,Healthcare,0.805,No,0.775
P014,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,36-50,Finance,0.525,Yes,0.575
P015,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,51-65,Other,1.0,Yes,1.0
P016,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,26-35,Finance,0.912,Yes,0.962
P017,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,65+,Education,0.953,No,0.923
P018,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,51-65,Tech,1.0,No,0.97
P019,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,65+,Other,0.944,No,0.914
P020,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,51-65,Other,0.792,No,0.762
P021,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,36-50,Tech,0.527,Yes,0.577
P022,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,26-35,Tech,0.803,Yes,0.853
P023,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,26-35,Education,0.796,No,0.766
P024,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,65+,Tech,0.869,No,0.839
P025,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,26-35,Other,0.666,Yes,0.716
P026,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,36-50,Tech,0.912,Yes,0.962
P027,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,18-25,Tech,0.818,No,0.788
P028,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,26-35,Finance,0.734,No,0.704
P029,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,51-65,Finance,0.821,Yes,0.871
P030,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,26-35,Healthcare,0.952,No,0.922
P031,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,18-25,Healthcare,0.848,Yes,0.898
P032,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,36-50,Healthcare,0.623,Yes,0.673
P033,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,36-50,Education,0.749,Yes,0.799
P034,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,51-65,Other,0.734,No,0.704
P035,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,51-65,Tech,0.642,No,0.612
P036,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,65+,Tech,0.56,No,0.53
P037,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,18-25,Healthcare,0.644,No,0.614
P038,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,51-65,Tech,0.798,No,0.768
P039,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,26-35,Finance,0.851,Yes,0.901
P040,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,51-65,Education,0.61,No,0.58
P041,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,26-35,Other,0.74,No,0.71
P042,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,18-25,Student,0.769,Yes,0.819
P043,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,26-35,Tech,0.672,Yes,0.722
P044,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,36-50,Student,0.389,No,0.359
P045,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,51-65,Education,0.798,Yes,0.848
P046,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,36-50,Education,0.914,Yes,0.964
P047,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,51-65,Tech,0.845,No,0.815
P048,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,18-25,Other,0.744,No,0.714
P049,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,36-50,Other,0.863,No,0.833
P050,Loss Aversion,Feeling pain of loss more acutely than pleasure from equivalent gains,18-25,Student,0.792,No,0.762
P001,Framing Effect,Drawing different conclusions from same info depending on presentation,51-65,Other,0.645,Yes,0.695
P002,Framing Effect,Drawing different conclusions from same info depending on presentation,26-35,Finance,0.558,No,0.528
P003,Framing Effect,Drawing different conclusions from same info depending on presentation,65+,Tech,1.0,No,0.97
P004,Framing Effect,Drawing different conclusions from same info depending on presentation,26-35,Tech,0.676,No,0.646
P005,Framing Effect,Drawing different conclusions from same info depending on presentation,18-25,Other,0.765,No,0.735
P006,Framing Effect,Drawing different conclusions from same info depending on presentation,26-35,Finance,0.891,No,0.861
P007,Framing Effect,Drawing different conclusions from same info depending on presentation,51-65,Healthcare,0.943,No,0.913
P008,Framing Effect,Drawing different conclusions from same info depending on presentation,51-65,Finance,0.684,No,0.654
P009,Framing Effect,Drawing different conclusions from same info depending on presentation,26-35,Finance,0.625,No,0.595
P010,Framing Effect,Drawing different conclusions from same info depending on presentation,26-35,Healthcare,0.471,Yes,0.521
P011,Framing Effect,Drawing different conclusions from same info depending on presentation,36-50,Finance,0.694,No,0.664
P012,Framing Effect,Drawing different conclusions from same info depending on presentation,51-65,Education,0.817,No,0.787
P013,Framing Effect,Drawing different conclusions from same info depending on presentation,36-50,Tech,0.955,Yes,1.0
P014,Framing Effect,Drawing different conclusions from same info depending on presentation,65+,Finance,0.562,No,0.532
P015,Framing Effect,Drawing different conclusions from same info depending on presentation,26-35,Education,0.794,Yes,0.844
P016,Framing Effect,Drawing different conclusions from same info depending on presentation,18-25,Tech,0.505,No,0.475
P017,Framing Effect,Drawing different conclusions from same info depending on presentation,36-50,Finance,0.537,No,0.507
P018,Framing Effect,Drawing different conclusions from same info depending on presentation,26-35,Healthcare,0.566,Yes,0.616
P019,Framing Effect,Drawing different conclusions from same info depending on presentation,26-35,Tech,0.909,Yes,0.959
P020,Framing Effect,Drawing different conclusions from same info depending on presentation,65+,Student,0.539,No,0.509
P021,Framing Effect,Drawing different conclusions from same info depending on presentation,65+,Other,0.743,No,0.713
P022,Framing Effect,Drawing different conclusions from same info depending on presentation,65+,Student,0.606,No,0.576
P023,Framing Effect,Drawing different conclusions from same info depending on presentation,51-65,Other,0.831,Yes,0.881
P024,Framing Effect,Drawing different conclusions from same info depending on presentation,26-35,Tech,0.562,No,0.532
P025,Framing Effect,Drawing different conclusions from same info depending on presentation,65+,Student,0.366,No,0.336
P026,Framing Effect,Drawing different conclusions from same info depending on presentation,26-35,Healthcare,0.722,Yes,0.772
P027,Framing Effect,Drawing different conclusions from same info depending on presentation,65+,Other,0.977,No,0.947
P028,Framing Effect,Drawing different conclusions from same info depending on presentation,65+,Healthcare,0.702,No,0.672
P029,Framing Effect,Drawing different conclusions from same info depending on presentation,51-65,Finance,0.093,No,0.063
P030,Framing Effect,Drawing different conclusions from same info depending on presentation,26-35,Other,0.99,No,0.96
P031,Framing Effect,Drawing different conclusions from same info depending on presentation,18-25,Student,0.515,No,0.485
P032,Framing Effect,Drawing different conclusions from same info depending on presentation,36-50,Student,0.546,No,0.516
P033,Framing Effect,Drawing different conclusions from same info depending on presentation,51-65,Tech,0.923,No,0.893
P034,Framing Effect,Drawing different conclusions from same info depending on presentation,36-50,Student,0.74,No,0.71
P035,Framing Effect,Drawing different conclusions from same info depending on presentation,36-50,Finance,0.509,No,0.479
P036,Framing Effect,Drawing different conclusions from same info depending on presentation,26-35,Finance,0.719,No,0.689
P037,Framing Effect,Drawing different conclusions from same info depending on presentation,51-65,Finance,0.425,Yes,0.475
P038,Framing Effect,Drawing different conclusions from same info depending on presentation,51-65,Healthcare,0.596,Yes,0.646
P039,Framing Effect,Drawing different conclusions from same info depending on presentation,36-50,Education,0.633,No,0.603
P040,Framing Effect,Drawing different conclusions from same info depending on presentation,18-25,Finance,0.774,Yes,0.824
P041,Framing Effect,Drawing different conclusions from same info depending on presentation,36-50,Tech,0.508,No,0.478
P042,Framing Effect,Drawing different conclusions from same info depending on presentation,18-25,Healthcare,0.58,No,0.55
P043,Framing Effect,Drawing different conclusions from same info depending on presentation,51-65,Education,0.555,Yes,0.605
P044,Framing Effect,Drawing different conclusions from same info depending on presentation,18-25,Tech,0.622,No,0.592
P045,Framing Effect,Drawing different conclusions from same info depending on presentation,51-65,Education,0.695,No,0.665
P046,Framing Effect,Drawing different conclusions from same info depending on presentation,65+,Education,0.637,No,0.607
P047,Framing Effect,Drawing different conclusions from same info depending on presentation,26-35,Other,0.584,No,0.554
P048,Framing Effect,Drawing different conclusions from same info depending on presentation,18-25,Tech,0.487,Yes,0.537
P049,Framing Effect,Drawing different conclusions from same info depending on presentation,51-65,Other,0.696,Yes,0.746
P050,Framing Effect,Drawing different conclusions from same info depending on presentation,18-25,Healthcare,0.621,No,0.591
P001,Recency Bias,Remembering recent events more vividly than earlier ones,18-25,Finance,0.697,Yes,0.747
P002,Recency Bias,Remembering recent events more vividly than earlier ones,36-50,Finance,0.581,Yes,0.631
P003,Recency Bias,Remembering recent events more vividly than earlier ones,18-25,Finance,0.832,No,0.802
P004,Recency Bias,Remembering recent events more vividly than earlier ones,18-25,Healthcare,0.665,No,0.635
P005,Recency Bias,Remembering recent events more vividly than earlier ones,18-25,Student,0.663,No,0.633
P006,Recency Bias,Remembering recent events more vividly than earlier ones,51-65,Healthcare,0.485,Yes,0.535
P007,Recency Bias,Remembering recent events more vividly than earlier ones,51-65,Education,0.344,No,0.314
P008,Recency Bias,Remembering recent events more vividly than earlier ones,51-65,Healthcare,0.447,No,0.417
P009,Recency Bias,Remembering recent events more vividly than earlier ones,18-25,Other,0.326,No,0.296
P010,Recency Bias,Remembering recent events more vividly than earlier ones,51-65,Student,0.695,Yes,0.745
P011,Recency Bias,Remembering recent events more vividly than earlier ones,18-25,Student,0.655,No,0.625
P012,Recency Bias,Remembering recent events more vividly than earlier ones,36-50,Other,0.715,No,0.685
P013,Recency Bias,Remembering recent events more vividly than earlier ones,51-65,Other,0.628,No,0.598
P014,Recency Bias,Remembering recent events more vividly than earlier ones,26-35,Other,0.301,No,0.271
P015,Recency Bias,Remembering recent events more vividly than earlier ones,36-50,Other,0.475,No,0.445
P016,Recency Bias,Remembering recent events more vividly than earlier ones,36-50,Student,0.578,No,0.548
P017,Recency Bias,Remembering recent events more vividly than earlier ones,18-25,Student,0.857,No,0.827
P018,Recency Bias,Remembering recent events more vividly than earlier ones,18-25,Healthcare,0.66,Yes,0.71
P019,Recency Bias,Remembering recent events more vividly than earlier ones,65+,Tech,0.915,No,0.885
P020,Recency Bias,Remembering recent events more vividly than earlier ones,36-50,Finance,0.565,No,0.535
P021,Recency Bias,Remembering recent events more vividly than earlier ones,51-65,Healthcare,0.603,No,0.573
P022,Recency Bias,Remembering recent events more vividly than earlier ones,36-50,Other,0.565,Yes,0.615
P023,Recency Bias,Remembering recent events more vividly than earlier ones,51-65,Healthcare,0.442,No,0.412
P024,Recency Bias,Remembering recent events more vividly than earlier ones,65+,Finance,0.813,Yes,0.863
P025,Recency Bias,Remembering recent events more vividly than earlier ones,18-25,Education,0.871,No,0.841
P026,Recency Bias,Remembering recent events more vividly than earlier ones,36-50,Education,0.602,No,0.572
P027,Recency Bias,Remembering recent events more vividly than earlier ones,18-25,Tech,0.536,No,0.506
P028,Recency Bias,Remembering recent events more vividly than earlier ones,26-35,Healthcare,0.564,No,0.534
P029,Recency Bias,Remembering recent events more vividly than earlier ones,51-65,Education,0.655,No,0.625
P030,Recency Bias,Remembering recent events more vividly than earlier ones,18-25,Finance,0.531,Yes,0.581
P031,Recency Bias,Remembering recent events more vividly than earlier ones,51-65,Tech,0.404,No,0.374
P032,Recency Bias,Remembering recent events more vividly than earlier ones,18-25,Finance,0.497,No,0.467
P033,Recency Bias,Remembering recent events more vividly than earlier ones,65+,Tech,0.596,No,0.566
P034,Recency Bias,Remembering recent events more vividly than earlier ones,51-65,Finance,0.93,No,0.9
P035,Recency Bias,Remembering recent events more vividly than earlier ones,65+,Education,0.494,No,0.464
P036,Recency Bias,Remembering recent events more vividly than earlier ones,26-35,Finance,0.654,No,0.624
P037,Recency Bias,Remembering recent events more vividly than earlier ones,51-65,Healthcare,0.551,No,0.521
P038,Recency Bias,Remembering recent events more vividly than earlier ones,18-25,Healthcare,0.309,No,0.279
P039,Recency Bias,Remembering recent events more vividly than earlier ones,18-25,Education,0.73,Yes,0.78
P040,Recency Bias,Remembering recent events more vividly than earlier ones,65+,Education,0.398,No,0.368
P041,Recency Bias,Remembering recent events more vividly than earlier ones,65+,Finance,0.442,Yes,0.492
P042,Recency Bias,Remembering recent events more vividly than earlier ones,26-35,Student,0.669,Yes,0.719
P043,Recency Bias,Remembering recent events more vividly than earlier ones,36-50,Finance,0.515,No,0.485
P044,Recency Bias,Remembering recent events more vividly than earlier ones,26-35,Tech,0.574,Yes,0.624
P045,Recency Bias,Remembering recent events more vividly than earlier ones,51-65,Finance,0.737,No,0.707
P046,Recency Bias,Remembering recent events more vividly than earlier ones,18-25,Tech,0.532,Yes,0.582
P047,Recency Bias,Remembering recent events more vividly than earlier ones,18-25,Finance,0.601,Yes,0.651
P048,Recency Bias,Remembering recent events more vividly than earlier ones,26-35,Education,0.841,No,0.811
P049,Recency Bias,Remembering recent events more vividly than earlier ones,65+,Tech,0.621,No,0.591
P050,Recency Bias,Remembering recent events more vividly than earlier ones,51-65,Education,0.9,No,0.87
P001,Halo Effect,Letting overall impression influence feelings about specific traits,26-35,Finance,0.786,No,0.756
P002,Halo Effect,Letting overall impression influence feelings about specific traits,51-65,Student,0.597,Yes,0.647
P003,Halo Effect,Letting overall impression influence feelings about specific traits,18-25,Education,0.55,No,0.52
P004,Halo Effect,Letting overall impression influence feelings about specific traits,18-25,Education,0.881,No,0.851
P005,Halo Effect,Letting overall impression influence feelings about specific traits,18-25,Other,0.822,No,0.792
P006,Halo Effect,Letting overall impression influence feelings about specific traits,18-25,Other,0.681,No,0.651
P007,Halo Effect,Letting overall impression influence feelings about specific traits,26-35,Healthcare,0.795,Yes,0.845
P008,Halo Effect,Letting overall impression influence feelings about specific traits,26-35,Tech,0.593,Yes,0.643
P009,Halo Effect,Letting overall impression influence feelings about specific traits,36-50,Finance,0.887,Yes,0.937
P010,Halo Effect,Letting overall impression influence feelings about specific traits,18-25,Finance,0.779,No,0.749
P011,Halo Effect,Letting overall impression influence feelings about specific traits,51-65,Student,0.816,Yes,0.866
P012,Halo Effect,Letting overall impression influence feelings about specific traits,26-35,Other,0.788,No,0.758
P013,Halo Effect,Letting overall impression influence feelings about specific traits,65+,Education,0.507,No,0.477
P014,Halo Effect,Letting overall impression influence feelings about specific traits,36-50,Finance,0.789,No,0.759
P015,Halo Effect,Letting overall impression influence feelings about specific traits,36-50,Healthcare,0.592,No,0.562
P016,Halo Effect,Letting overall impression influence feelings about specific traits,18-25,Healthcare,0.821,No,0.791
P017,Halo Effect,Letting overall impression influence feelings about specific traits,26-35,Student,0.867,Yes,0.917
P018,Halo Effect,Letting overall impression influence feelings about specific traits,65+,Finance,0.947,No,0.917
P019,Halo Effect,Letting overall impression influence feelings about specific traits,26-35,Healthcare,1.0,No,0.97
P020,Halo Effect,Letting overall impression influence feelings about specific traits,18-25,Other,0.621,Yes,0.671
P021,Halo Effect,Letting overall impression influence feelings about specific traits,36-50,Finance,0.786,No,0.756
P022,Halo Effect,Letting overall impression influence feelings about specific traits,26-35,Finance,0.557,Yes,0.607
P023,Halo Effect,Letting overall impression influence feelings about specific traits,18-25,Tech,0.667,Yes,0.717
P024,Halo Effect,Letting overall impression influence feelings about specific traits,26-35,Finance,0.524,No,0.494
P025,Halo Effect,Letting overall impression influence feelings about specific traits,26-35,Tech,0.903,Yes,0.953
P026,Halo Effect,Letting overall impression influence feelings about specific traits,26-35,Finance,0.741,No,0.711
P027,Halo Effect,Letting overall impression influence feelings about specific traits,36-50,Healthcare,0.771,No,0.741
P028,Halo Effect,Letting overall impression influence feelings about specific traits,18-25,Other,0.668,No,0.638
P029,Halo Effect,Letting overall impression influence feelings about specific traits,26-35,Education,0.588,Yes,0.638
P030,Halo Effect,Letting overall impression influence feelings about specific traits,26-35,Finance,0.727,No,0.697
P031,Halo Effect,Letting overall impression influence feelings about specific traits,36-50,Tech,0.771,Yes,0.821
P032,Halo Effect,Letting overall impression influence feelings about specific traits,26-35,Student,0.679,No,0.649
P033,Halo Effect,Letting overall impression influence feelings about specific traits,36-50,Tech,0.737,No,0.707
P034,Halo Effect,Letting overall impression influence feelings about specific traits,36-50,Education,0.706,Yes,0.756
P035,Halo Effect,Letting overall impression influence feelings about specific traits,18-25,Education,0.678,Yes,0.728
P036,Halo Effect,Letting overall impression influence feelings about specific traits,51-65,Tech,0.848,Yes,0.898
P037,Halo Effect,Letting overall impression influence feelings about specific traits,26-35,Tech,0.811,Yes,0.861
P038,Halo Effect,Letting overall impression influence feelings about specific traits,26-35,Tech,0.558,No,0.528
P039,Halo Effect,Letting overall impression influence feelings about specific traits,18-25,Education,0.68,Yes,0.73
P040,Halo Effect,Letting overall impression influence feelings about specific traits,26-35,Education,0.458,No,0.428
P041,Halo Effect,Letting overall impression influence feelings about specific traits,26-35,Education,0.702,No,0.672
P042,Halo Effect,Letting overall impression influence feelings about specific traits,65+,Healthcare,0.73,No,0.7
P043,Halo Effect,Letting overall impression influence feelings about specific traits,18-25,Education,0.76,No,0.73
P044,Halo Effect,Letting overall impression influence feelings about specific traits,51-65,Student,0.584,Yes,0.634
P045,Halo Effect,Letting overall impression influence feelings about specific traits,51-65,Tech,0.792,Yes,0.842
P046,Halo Effect,Letting overall impression influence feelings about specific traits,36-50,Student,0.625,Yes,0.675
P047,Halo Effect,Letting overall impression influence feelings about specific traits,36-50,Education,0.698,No,0.668
P048,Halo Effect,Letting overall impression influence feelings about specific traits,51-65,Education,0.702,Yes,0.752
P049,Halo Effect,Letting overall impression influence feelings about specific traits,36-50,Other,0.719,No,0.689
P050,Halo Effect,Letting overall impression influence feelings about specific traits,51-65,Education,0.992,No,0.962
P001,Survivorship Bias,Focusing on successes and ignoring all the failures,18-25,Finance,0.92,No,0.89
P002,Survivorship Bias,Focusing on successes and ignoring all the failures,65+,Student,0.393,No,0.363
P003,Survivorship Bias,Focusing on successes and ignoring all the failures,65+,Tech,1.0,Yes,1.0
P004,Survivorship Bias,Focusing on successes and ignoring all the failures,26-35,Tech,0.711,Yes,0.761
P005,Survivorship Bias,Focusing on successes and ignoring all the failures,36-50,Education,0.675,Yes,0.725
P006,Survivorship Bias,Focusing on successes and ignoring all the failures,26-35,Finance,0.626,Yes,0.676
P007,Survivorship Bias,Focusing on successes and ignoring all the failures,65+,Other,0.498,No,0.468
P008,Survivorship Bias,Focusing on successes and ignoring all the failures,18-25,Finance,0.576,No,0.546
P009,Survivorship Bias,Focusing on successes and ignoring all the failures,26-35,Student,0.636,No,0.606
P010,Survivorship Bias,Focusing on successes and ignoring all the failures,36-50,Student,0.826,Yes,0.876
P011,Survivorship Bias,Focusing on successes and ignoring all the failures,51-65,Tech,0.556,Yes,0.606
P012,Survivorship Bias,Focusing on successes and ignoring all the failures,65+,Healthcare,0.632,No,0.602
P013,Survivorship Bias,Focusing on successes and ignoring all the failures,26-35,Student,0.798,No,0.768
P014,Survivorship Bias,Focusing on successes and ignoring all the failures,65+,Education,0.603,Yes,0.653
P015,Survivorship Bias,Focusing on successes and ignoring all the failures,18-25,Finance,0.601,Yes,0.651
P016,Survivorship Bias,Focusing on successes and ignoring all the failures,51-65,Education,0.754,No,0.724
P017,Survivorship Bias,Focusing on successes and ignoring all the failures,36-50,Healthcare,0.689,No,0.659
P018,Survivorship Bias,Focusing on successes and ignoring all the failures,36-50,Tech,0.619,No,0.589
P019,Survivorship Bias,Focusing on successes and ignoring all the failures,18-25,Finance,0.735,Yes,0.785
P020,Survivorship Bias,Focusing on successes and ignoring all the failures,26-35,Education,0.721,No,0.691
P021,Survivorship Bias,Focusing on successes and ignoring all the failures,26-35,Tech,0.527,No,0.497
P022,Survivorship Bias,Focusing on successes and ignoring all the failures,51-65,Other,0.732,Yes,0.782
P023,Survivorship Bias,Focusing on successes and ignoring all the failures,18-25,Student,0.799,No,0.769
P024,Survivorship Bias,Focusing on successes and ignoring all the failures,65+,Finance,0.504,No,0.474
P025,Survivorship Bias,Focusing on successes and ignoring all the failures,18-25,Education,0.722,Yes,0.772
P026,Survivorship Bias,Focusing on successes and ignoring all the failures,26-35,Student,0.705,Yes,0.755
P027,Survivorship Bias,Focusing on successes and ignoring all the failures,36-50,Finance,0.614,No,0.584
P028,Survivorship Bias,Focusing on successes and ignoring all the failures,65+,Finance,0.599,Yes,0.649
P029,Survivorship Bias,Focusing on successes and ignoring all the failures,65+,Education,0.807,No,0.777
P030,Survivorship Bias,Focusing on successes and ignoring all the failures,36-50,Healthcare,0.593,No,0.563
P031,Survivorship Bias,Focusing on successes and ignoring all the failures,36-50,Tech,0.638,Yes,0.688
P032,Survivorship Bias,Focusing on successes and ignoring all the failures,51-65,Education,0.415,No,0.385
